tag,architecture,method,seed,condition,unit,lr_now,bn_var_max,eval_b2a,eval_a2b,eval_family_f1,eval_fine_f1,eval_awbir,eval_ece,batch_b2a,batch_a2b,batch_family_f1,batch_fine_f1,batch_awbir,batch_ece
B,shallow,fisher,307,baseline,1,0.001,0.3974641263484955,0.04,0.039811603267565054,0.6454388367511256,0.5569521787803965,0.10099261317686299,0.07633434696333904,0.04525,0.032931521388904685,0.6849515298855113,0.5948401969296541,0.06607794402243362,0.047517092078890016
B,shallow,fisher,307,baseline,2,0.001,0.377566933631897,0.01825,0.03443831618051212,0.6070874733918371,0.5434187598888274,0.1081437655594388,0.12342213689618997,0.006,0.03478895396220694,0.6578167706398624,0.5803444288360389,0.08358871631778522,0.08314381970111351
B,shallow,fisher,307,baseline,3,0.001,0.48690199851989746,0.009,0.03714865146604499,0.6001541414836729,0.5270902280051708,0.10712972933151316,0.09843039333220042,0.00275,0.03194594492143819,0.6473418812997598,0.5803589512841169,0.08821952131928279,0.08637890390802057
B,shallow,fisher,307,baseline,4,0.001,1.4113870859146118,1.0,9.476696802562498e-05,0.2138778194717133,0.20105097710302217,0.1859999749486075,0.2407814486561707,0.003,0.02867648452455412,0.6796881281203705,0.5924016325776116,0.07842583317166484,0.07870868499891948
B,shallow,fisher,307,baseline,5,0.001,0.3891841471195221,0.0025,0.03929986164022668,0.6080062608615625,0.5393876548845443,0.10955892636932933,0.14439414732563385,0.001,0.03541441595117606,0.6428425946681996,0.58740154612775,0.08124976970849268,0.10096076759590099
B,shallow,fisher,307,baseline,6,0.001,0.39980757236480713,0.00025,0.047355053922404806,0.6026852876232113,0.5392736765826566,0.10800469349538126,0.14000226549950087,0.0005,0.03512063835029662,0.6581615596525432,0.5828280190761631,0.09183189777659585,0.11161251442777244
B,shallow,fisher,307,baseline,7,0.001,0.4238100051879883,0.00025,0.056575879911298116,0.5872587510079694,0.5278852565956624,0.10886187049069039,0.15620901499268683,0.00075,0.035660810068042684,0.6686183303161033,0.5851667902538948,0.08218823276557485,0.11507454087521342
B,shallow,fisher,307,baseline,8,0.001,1.5333285331726074,1.0,8.529027122306249e-05,0.2025110076636876,0.20743019893357428,0.2676254752110874,0.274627116668341,0.00275,0.0351016849566915,0.643393689610094,0.5770562414533122,0.09018959687917195,0.12541814432387188
B,shallow,saber_v2,307,baseline,1,0.001,0.4042663872241974,0.02975,0.03704440780121681,0.6763347498361544,0.5898330154815373,0.08880110037508238,0.04028690595487636,0.03725,0.022601921874111558,0.7177037248301626,0.6178688821037565,0.049198922891056436,0.021130530242308706
B,shallow,saber_v2,307,baseline,2,0.001,0.38080665469169617,0.00925,0.04087299330945206,0.6275738594879292,0.553670965709647,0.09792193294859652,0.1113863695676798,0.007,0.027738291541100434,0.6874663351335646,0.5902784818566805,0.0802032565693158,0.07947719734084398
B,shallow,saber_v2,307,baseline,3,0.001,0.48668479919433594,0.00475,0.044692102120884744,0.5848467702362941,0.5189420412391317,0.1266232443989293,0.10216237042681545,0.003,0.03481738405261462,0.6524167913528482,0.5796933481348915,0.0809002453282894,0.08602402193626461
B,shallow,saber_v2,307,baseline,4,0.001,1.3661071062088013,0.41675,0.04092985349026743,0.3217670444404519,0.2769147064151929,0.34554769959245424,0.11563487917525972,0.001,0.035660810068042684,0.6514235996311459,0.5863503569270322,0.08033049462921295,0.08163432745108135
B,shallow,saber_v2,307,baseline,5,0.001,0.38900113105773926,0.00125,0.04847330414510718,0.5985795584965259,0.5510253167540884,0.10162440163693605,0.13502465074742936,0.0015,0.03753719603495006,0.6544487703422194,0.6002425608601841,0.0768397380187214,0.08850612345534128
B,shallow,saber_v2,307,baseline,6,0.001,0.39777329564094543,0.001,0.036911734045980936,0.6208629465070404,0.5483021555797364,0.09713931396233084,0.14054772167769472,0.00075,0.02491423589393681,0.6883125474456365,0.6023064974914895,0.07769688177046118,0.0951476962992158
B,shallow,saber_v2,307,baseline,7,0.001,0.4265635311603546,0.0005,0.057921570857261996,0.5708212235502931,0.5117180582714645,0.11256212540770605,0.1789922836059405,0.001,0.03955573245389587,0.6747650682854754,0.5935902282897193,0.07836309291810842,0.11408447138319985
B,shallow,saber_v2,307,baseline,8,0.001,1.4577714204788208,0.81675,0.0041697465931275,0.24581850427176788,0.23149521691244837,0.28041420849377496,0.15556320399395182,0.00075,0.033443263016243056,0.6532020863103392,0.5771971983737981,0.08807155447548794,0.1224874767854836
B,deep,fisher,401,baseline,1,0.001,5.160311698913574,0.0,0.05499327154527018,0.5682311257968797,0.49399383433699784,0.13952883466858657,0.23164358748716737,0.0,0.041346828149580184,0.5748889321575913,0.5157864769878663,0.10692296522356837,0.17498047640868686
B,deep,fisher,401,baseline,2,0.001,6.238556385040283,0.41,0.021341521199370748,0.41109279259547366,0.3572488939514898,0.13935997055880234,0.37434839868932024,0.0,0.046540057997384435,0.5948390114079793,0.5272857475069012,0.04733733581581334,0.18837149477187212
B,deep,fisher,401,baseline,3,0.001,5.278719902038574,0.0,0.0582722086389568,0.5870616557488214,0.5110048208737539,0.06708661925570665,0.22983442928167253,0.0,0.04413297700953356,0.5855928846603632,0.5283629104792927,0.07357006509802326,0.1862634382537085
B,deep,fisher,401,baseline,4,0.001,4.561915397644043,0.00025,0.05571350050226493,0.6026027767609637,0.5483068384926107,0.03217289659257879,0.2241497817594805,0.00075,0.04213339398419287,0.5692868801313077,0.529366662051469,0.12483925460197554,0.1952971956724512
B,deep,fisher,401,baseline,5,0.001,4.459721565246582,0.0,0.057779420405223554,0.6116233394969037,0.5302431039372106,0.0495680573426563,0.25103851637949154,0.0,0.045080646689789804,0.5988945652683214,0.530001786092746,0.04945418096991543,0.2149404751254079
B,deep,fisher,401,baseline,6,0.001,4.932578086853027,0.0,0.06231875817365099,0.6371650069593351,0.5648833191657013,0.038410996099043186,0.23990841223407933,0.0,0.04831220029946362,0.5889467958219596,0.5400764663857622,0.12692045061736118,0.2117507773964797
B,deep,saber_v2,401,baseline,1,0.001,8.901362419128418,0.00025,0.06030022175470518,0.6345925276068003,0.5275019276872043,0.03717574883018491,0.2081988241073908,0.00025,0.043886582892666934,0.6021437088536619,0.5240903658529261,0.029586366797066256,0.1568519052720317
B,deep,saber_v2,401,baseline,2,0.001,9.780230522155762,0.39725,0.016849566914956125,0.42960357075664296,0.4560845699602969,0.11048790965114756,0.22275199495359435,0.0,0.048662838081158434,0.5761950983161888,0.5183654185374016,0.05975997767749842,0.1800092327688515
B,deep,saber_v2,401,baseline,3,0.001,9.406031608581543,0.00025,0.059722143249748866,0.596761887785386,0.5183852583399352,0.03936064245904036,0.2235988008139005,0.001,0.04312844714846193,0.5819045766178328,0.5267426090214352,0.046778330774757584,0.17782328950032608
B,deep,saber_v2,401,baseline,4,0.001,9.966002464294434,0.00025,0.05726767877788518,0.572487570848951,0.5462472696350734,0.03468851524988179,0.22905009988271663,0.001,0.04813214306021493,0.563902943279172,0.5350612332358985,0.10870649698193571,0.1786085682667618
B,deep,saber_v2,401,baseline,5,0.001,11.662446975708008,0.00075,0.06274520952976631,0.5779311685467792,0.5101371951739014,0.06689363760764636,0.23394370696490369,0.001,0.047734121794507305,0.5900038205399617,0.5484777099703037,0.04440452313196167,0.18806610293537118
B,deep,saber_v2,401,baseline,6,0.001,11.725090026855469,0.0,0.06309584731146112,0.5960357825630068,0.5133980631878693,0.08526186104552001,0.2520774686354258,0.0,0.04807528287939956,0.5664155493960505,0.5157574541728563,0.08766083223005976,0.20674897462011196
