,prune50,prune80,distillation,int8,float16
Backdoor_Malware,0.0,-0.0041407867494824,-0.0041407867494824,0.0041407867494824,0.0020703933747412
BenignTraffic,0.03560335326141406,-0.5005844828162053,0.03824187568885473,0.005844828162052007,0.0005677833071707772
BrowserHijacking,-0.011507479861910301,-0.0195627157652474,-0.0184119677790564,0.0,0.0011507479861909975
CommandInjection,-0.004944375772558705,-0.0630407911001236,-0.0457354758961681,-0.011124845488257103,0.0
DDoS-ACK_Fragmentation,0.00030102347983163025,-0.05194327379757846,-0.004481905144156806,-0.0001003411599436177,0.0
DDoS-HTTP_Flood,0.08844639962954381,0.18175503588793707,-0.03681407733271591,0.000926140310256951,0.0006946052326927132
DDoS-ICMP_Flood,-0.0002465483234714849,-0.00018491124260344716,6.163708086792674e-05,0.0,0.0
DDoS-ICMP_Fragmentation,-0.005513231756215209,0.019513499064421236,-0.0025394279604383785,-0.0001336541031812244,0.0
DDoS-PSHACK_Flood,0.000103541105819005,-0.03075170842824604,-0.0005694760820046385,0.0,0.0
DDoS-RSTFINFlood,-0.00011891313395562264,-0.00041619596884479026,-5.945656697781132e-05,0.0,0.0
DDoS-SYN_Flood,-0.48333757313660647,0.41694225387941997,-0.33645382854235567,0.020859832103790388,0.005698295599084191
DDoS-SlowLoris,-0.031872509960159334,-0.954183266932271,-0.03044963005122381,-0.0005691519635743214,0.00028457598178699417
DDoS-SynonymousIP_Flood,-0.0711760273575609,-0.2816321799107401,0.43064974207384227,-0.01083869471975879,-0.010085202573465402
DDoS-TCP_Flood,-0.28366728797763274,-0.6396202236719478,-0.037220410065237575,0.02982292637465056,-0.002912395153774394
DDoS-UDP_Flood,-0.1335396860490824,0.2545876630554941,0.11999778907804559,0.0006632765863365808,0.0018240106124254307
DDoS-UDP_Fragmentation,-0.00043514644351483334,-0.0002343096234308506,-0.0027447698744770266,6.694560669440186e-05,0.0
DNS_Spoofing,0.0175270751215032,-0.1503960812827676,-0.1487122574719682,0.01901955531743904,0.0012628678580995922
DictionaryBruteForce,0.0653061224489796,-0.1086734693877551,-0.09132653061224488,-0.0035714285714285032,0.0005102040816327147
DoS-HTTP_Flood,-0.10398209456308871,-0.6540147346824583,-0.02508626317261964,-0.0003730299356523581,-9.325748391308952e-05
DoS-SYN_Flood,0.2306450124573221,-0.1643905139798837,-0.019378056657746584,0.0021223585863246186,0.0012918704438498185
DoS-TCP_Flood,0.2759530475985355,-0.4115334912771914,-0.08609735085074299,-0.028483738961878113,0.0025306913633427186
DoS-UDP_Flood,0.08723327954097182,-0.6823112784651246,-0.1672942442173212,0.01147570378339613,-0.0011655011655011815
MITM-ArpSpoofing,-0.04627978897580498,-0.1182826996543569,-0.024376932872475887,-0.008659268692013791,-0.0002546843732944837
Mirai-greeth_flood,-0.08164997453742995,-0.01632999490748599,0.011067730436258638,0.0008827024274318251,-0.00013580037345095608
Mirai-greip_flood,-0.012974726314366802,-0.1720502770644683,-0.037268549804027606,-0.00033788349776997517,0.0
Mirai-udpplain,0.004227304227304218,-0.07463617463617456,-0.0016632016632017743,6.930006930006005e-05,0.0
Recon-HostDiscovery,0.10459311033449825,-0.6288067898152772,-0.0470294558162756,-0.01233150274588124,-0.0015476784822766598
Recon-OSScan,-0.037720207253886,-0.11447322970639028,0.01084628670120899,0.006493955094991399,0.0001381692573402954
Recon-PingSweep,0.0,0.0,0.0,0.0,0.0
Recon-PortScan,-0.06712636038880121,-0.2439976738389965,-0.10949572152529699,-0.0031569327905625055,-0.00033230871479611457
SqlInjection,-0.008894536213468904,-0.0470139771283354,-0.0457433290978399,-0.0012706480304956053,0.0
Uploading_Attack,-0.0106382978723404,-0.0212765957446808,-0.0212765957446808,0.0106382978723404,0.0
VulnerabilityScan,0.012972250083584047,0.09033767970578399,-0.09090605148779674,-0.0047475760615179885,-0.00020060180541625616
XSS,-0.0103986135181976,-0.0277296360485268,-0.0277296360485268,0.0,0.0
