,M0,prune50,prune80,distillation,int8,float16
Backdoor_Malware,0.041407867494824016,0.035196687370600416,0.004140786749482402,0.016563146997929608,0.002070393374741201,0.041407867494824016
BenignTraffic,0.7926922948465315,0.8218162386025851,0.7991383053338232,0.7679436224574997,0.25356534517885176,0.7931598810994956
BrowserHijacking,0.02991944764096663,0.019562715765247412,0.01611047180667434,0.0011507479861910242,0.005753739930955121,0.02991944764096663
CommandInjection,0.08034610630407911,0.08899876390605686,0.034610630407911,0.034610630407911,0.012360939431396786,0.08034610630407911
DDoS-ACK_Fragmentation,0.9718041340557897,0.9649140410729815,0.9433406916850625,0.9164492608201218,0.6141882400160545,0.9718041340557897
DDoS-HTTP_Flood,0.8721926371845334,0.895809215096087,0.8835378559851818,0.8464922435749016,0.17226209770780274,0.8726557073396619
DDoS-ICMP_Flood,0.9984590729783037,0.9982741617357002,0.9982741617357002,0.9982741617357002,0.5494329388560157,0.9984590729783037
DDoS-ICMP_Fragmentation,0.9735030740443732,0.9740042769313018,0.9731021117348303,0.9706963378775728,0.8417535418337343,0.973469660518578
DDoS-PSHACK_Flood,0.9982398012010768,0.9984986539656243,0.6894284530958791,0.7618554566162766,0.8650859391178298,0.9982398012010768
DDoS-RSTFINFlood,0.9992270646292883,0.9992270646292883,0.9992270646292883,0.9991676080623105,0.9992270646292883,0.9992270646292883
DDoS-SYN_Flood,0.2689900788603409,0.19745611803612312,0.19979648944288986,0.1788349020605444,0.13563978631391505,0.2768761129483592
DDoS-SlowLoris,0.9621513944223108,0.9689812179852021,0.9706886738759248,0.9652817302219693,0.9186112692088788,0.9618668184405236
DDoS-SynonymousIP_Flood,0.6469599489943778,0.7394076392511447,0.7408566626094013,0.7593462006607546,0.23282907320466006,0.639251144728453
DDoS-TCP_Flood,0.6638513513513513,0.4875931966449208,0.3982991612301957,0.6851700838769804,0.722856477166822,0.6695596458527493
DDoS-UDP_Flood,0.4846893654653991,0.6486292283882379,0.6068428034490383,0.6236458103028963,0.03670130444395313,0.48269953570638957
DDoS-UDP_Fragmentation,0.9919330543933055,0.9929707112970712,0.9918661087866109,0.9914979079497908,0.8317991631799163,0.9919330543933055
DNS_Spoofing,0.611955149056676,0.661398339137423,0.6737591366576098,0.6125674486242394,0.6094294133404768,0.6124526424553213
DictionaryBruteForce,0.44642857142857145,0.45816326530612245,0.46530612244897956,0.461734693877551,0.00510204081632653,0.44642857142857145
DoS-HTTP_Flood,0.912431222605614,0.8904224564021263,0.8811899654947309,0.8792315583325562,0.5672852746432901,0.9123379651217011
DoS-SYN_Flood,0.1754636892128818,0.17509458337178185,0.17407954230875702,0.16909661345390792,0.18381470886776782,0.17500230691150687
DoS-TCP_Flood,0.5556213654964463,0.7315313374973078,0.8033598966185655,0.510984277406849,0.1762868834805083,0.5508830497523153
DoS-UDP_Flood,0.826474807244038,0.7466379774072082,0.7713376367222521,0.7570826609288148,0.8167025282409898,0.8275058275058275
MITM-ArpSpoofing,0.14742586865563034,0.14840822266690923,0.14746225213752956,0.15928688375477534,0.21073312716026923,0.14728033472803348
Mirai-greeth_flood,0.9903242233916143,0.9939229332880666,0.9913766762858598,0.9520624681717875,0.4728229502631132,0.9903242233916143
Mirai-greip_flood,0.9901675902148939,0.9866198134883092,0.9815177726719827,0.9295175023651845,0.9284362751723206,0.9901338018651169
Mirai-udpplain,0.9937629937629938,0.9945599445599446,0.9934164934164934,0.9918918918918919,0.7181566181566181,0.9937629937629938
Recon-HostDiscovery,0.7954068896655018,0.7340988517224164,0.7144782825761358,0.7285072391412881,0.12021967049425861,0.7953070394408387
Recon-OSScan,0.16041450777202074,0.149153713298791,0.1166839378238342,0.13637305699481866,0.0505699481865285,0.16055267702936096
Recon-PingSweep,0.008823529411764706,0.011764705882352941,0.0,0.0029411764705882353,0.026470588235294117,0.008823529411764706
Recon-PortScan,0.2125114231120711,0.2670931295173216,0.24931461327573315,0.204369859599568,0.17653900473539919,0.21184680568247902
SqlInjection,0.06480304955527319,0.07750952986022872,0.08132147395171538,0.062261753494282084,0.0063532401524777635,0.06480304955527319
Uploading_Attack,0.010638297872340425,0.010638297872340425,0.09574468085106383,0.0,0.0,0.010638297872340425
VulnerabilityScan,0.7258441992644601,0.6877298562353727,0.733834837846874,0.6656636576395855,0.04105650284185891,0.7249080575058509
XSS,0.02772963604852686,0.03466204506065858,0.019064124783362217,0.005199306759098787,0.005199306759098787,0.02772963604852686
