,support,baseline_recall,etf_cos_to_others,margin,sim_nearest_higher_freq,confusion_offdiag,pred_entropy
Backdoor_Malware,70.0,0.0,0.19924941658973694,-2.2873146533966064,0.9472248554229736,1.0,2.5627388954162598
BenignTraffic,3306.0,0.6721113127646703,0.18354560434818268,0.4104631841182709,0.8648741841316223,0.3278886872353297,2.219165325164795
BrowserHijacking,100.0,0.01,0.15582434833049774,-2.60689640045166,0.9347395300865173,0.99,2.45395827293396
CommandInjection,95.0,0.06315789473684211,0.16025947034358978,-2.012800931930542,0.8080860376358032,0.9368421052631578,2.200826644897461
DDoS-ACK_Fragmentation,3230.0,0.9696594427244583,-0.11967803537845612,6.338903903961182,0.5558789372444153,0.03034055727554197,0.36189600825309753
DDoS-HTTP_Flood,459.0,0.7930283224400871,-0.009454626590013504,1.5331584215164185,0.9129753112792969,0.20697167755991286,0.7116514444351196
DDoS-ICMP_Flood,1750.0,0.9994285714285714,-0.09575486928224564,8.705413818359375,0.5613167881965637,0.0005714285714285561,0.012330521829426289
DDoS-ICMP_Fragmentation,3276.0,0.9734432234432234,-0.12661845982074738,7.560653209686279,0.45792287588119507,0.026556776556776573,0.20231734216213226
DDoS-PSHACK_Flood,2035.0,0.999017199017199,-0.062082450836896896,8.73147201538086,0.45834290981292725,0.0009828009828010131,0.023256966844201088
DDoS-RSTFINFlood,1832.0,0.9989082969432315,-0.017513256520032883,9.152620315551758,0.4731738567352295,0.0010917030567685337,0.019736384972929955
DDoS-SYN_Flood,2140.0,0.5242990654205607,-0.07088705152273178,0.0832638218998909,0.9593249559402466,0.4757009345794393,1.1201231479644775
DDoS-SlowLoris,409.0,0.9388753056234719,-0.009785601869225502,3.2946815490722656,0.9172050356864929,0.06112469437652812,0.8104933500289917
DDoS-SynonymousIP_Flood,1904.0,0.3293067226890756,-0.06578130275011063,-0.36629238724708557,0.9894062280654907,0.6706932773109244,1.0903453826904297
DDoS-TCP_Flood,1867.0,0.6422067487948581,-0.12442585825920105,0.18820175528526306,0.9870264530181885,0.3577932512051418,0.7310990691184998
DDoS-UDP_Flood,1983.0,0.7498739283913263,-0.1214572861790657,0.5466639995574951,0.9825100898742676,0.25012607160867373,0.6956267356872559
DDoS-UDP_Fragmentation,3333.0,0.9885988598859886,-0.1294909417629242,8.372150421142578,0.0,0.011401140114011388,0.10221455991268158
DNS_Spoofing,2807.0,0.5917349483434271,0.18404428660869598,0.7390676140785217,0.8963063359260559,0.4082650516565729,1.6569061279296875
DictionaryBruteForce,221.0,0.35294117647058826,0.1893085092306137,-0.5512080192565918,0.8793759346008301,0.6470588235294117,2.3343124389648438
DoS-HTTP_Flood,1189.0,0.847771236333053,-0.02277452126145363,2.054295539855957,0.45237213373184204,0.15222876366694693,0.8939899802207947
DoS-SYN_Flood,2399.0,0.16882034180908712,-0.05407607927918434,-2.506206512451172,-0.03889685496687889,0.8311796581909129,1.0682120323181152
DoS-TCP_Flood,2003.0,0.41987019470793807,-0.12425828725099564,-0.08112635463476181,0.4995075464248657,0.5801298052920619,0.8288878202438354
DoS-UDP_Flood,2436.0,0.6789819376026273,-0.12464894354343414,1.239076852798462,0.5378347635269165,0.32101806239737274,0.7117394804954529
MITM-ArpSpoofing,3041.0,0.1315356790529431,0.13472485542297363,-5.539898872375488,0.849734902381897,0.8684643209470571,2.3140289783477783
Mirai-greeth_flood,3171.0,0.967202775149795,-0.15809296071529388,4.8529582023620605,0.9459531903266907,0.032797224850204976,0.2041492909193039
Mirai-greip_flood,3243.0,0.9833487511563367,-0.16873902082443237,4.167845726013184,0.28613564372062683,0.016651248843663202,0.23884283006191254
Mirai-udpplain,3167.0,0.9861067256078307,-0.13249841332435608,6.271407127380371,0.5564665198326111,0.013893274392169253,0.14426682889461517
Recon-HostDiscovery,2142.0,0.7049486461251168,0.18191994726657867,0.9145964980125427,0.8499907851219177,0.29505135387488346,1.9209257364273071
Recon-OSScan,1561.0,0.0980140935297886,0.20966403186321259,-0.7716620564460754,0.9518344402313232,0.9019859064702114,2.2835967540740967
Recon-PingSweep,41.0,0.0,0.20692190527915955,-2.5670595169067383,0.9820482134819031,1.0,2.3853321075439453
Recon-PortScan,1287.0,0.22999222999222999,0.2084558606147766,-0.7286995053291321,0.989149808883667,0.7700077700077699,2.2524099349975586
SqlInjection,93.0,0.10752688172043011,0.20583684742450714,-1.8588078022003174,0.9778986573219299,0.8924731182795699,2.362410068511963
Uploading_Attack,23.0,0.0,0.18895816802978516,-2.057643413543701,0.9718772172927856,1.0,2.586702346801758
VulnerabilityScan,3320.0,0.6674698795180722,0.2028052806854248,0.35310494899749756,-0.10500951111316681,0.33253012048192765,2.2168326377868652
XSS,67.0,0.014925373134328358,0.19302040338516235,-1.4807071685791016,0.982876181602478,0.9850746268656716,2.5844650268554688
