,M0_conf_on_true,p80_conf_on_true,M0_frac_conf_wrong,p80_frac_conf_wrong,conf_wrong_increase
DictionaryBruteForce,0.41,0.5218,0.0413,0.3235,0.2822
DDoS-HTTP_Flood,0.824,0.9415,0.1938,0.0144,-0.1794
DoS-HTTP_Flood,0.8201,0.6886,0.1046,0.6513,0.5467
Recon-PortScan,0.3925,0.5745,0.1107,0.6139,0.5032
Recon-OSScan,0.3765,0.5474,0.2155,0.5399,0.3244
DDoS-UDP_Flood,0.6802,0.9856,0.2549,0.0027,-0.2522
Recon-HostDiscovery,0.5255,0.512,0.0182,0.5008,0.4826
DoS-SYN_Flood,0.6497,0.8415,0.596,0.9951,0.3991
DoS-UDP_Flood,0.729,0.9237,0.3142,0.975,0.6608
DNS_Spoofing,0.6022,0.4885,0.1321,0.2014,0.0693
MITM-ArpSpoofing,0.3981,0.5164,0.2136,0.5828,0.3692
VulnerabilityScan,0.4037,0.5995,0.0725,0.0771,0.0046
BenignTraffic,0.3957,0.446,0.0125,0.211,0.1985
